quarter,start_date,end_date
Fall 2013,   2013-09-23 00:00:00, 2013-12-14 23:59:59
Winter 2014, 2014-01-06 00:00:00, 2014-03-28 23:59:59
Spring 2014, 2014-04-07 00:00:00, 2014-06-27 23:59:59
Summer 2014, 2014-06-30 00:00:00, 2014-08-10 23:59:59
Fall 2014,   2014-09-22 00:00:00, 2014-12-12 23:59:59
Winter 2015, 2015-01-05 00:00:00, 2015-03-27 23:59:59
Spring 2015, 2015-04-06 00:00:00, 2015-06-26 23:59:59
Summer 2015, 2015-06-29 00:00:00, 2015-08-08 23:59:59
Fall 2015,   2015-09-21 00:00:00, 2015-12-11 23:59:59
Winter 2016, 2016-01-04 00:00:00, 2016-03-25 23:59:59
Spring 2016, 2016-04-04 00:00:00, 2016-06-24 23:59:59
Summer 2016, 2016-06-27 00:00:00, 2016-08-06 23:59:59
